iter	RMSE
0	193.758184
1	189.1033364
2	184.5414802
3	180.2807583
4	175.7121577
5	171.4379368
6	167.3215126
7	163.3544701
8	159.2588215
9	155.3809606
10	151.6103465
11	148.1708722
12	144.7132717
13	141.4493896
14	138.2238711
15	135.1297779
16	132.1038291
17	129.2143724
18	126.2010019
19	123.4845461
20	120.8855343
21	118.3492701
22	115.9563903
23	113.5112963
24	111.2400214
25	108.8228006
26	106.5909057
27	104.4532432
28	102.2444441
29	100.2410408
30	98.34767742
31	96.47503265
32	94.63784892
33	92.78939382
34	91.10036507
35	89.39619891
36	87.64754277
37	86.09066837
38	84.64161089
39	83.2491073
40	81.72776853
41	80.32222594
42	79.00812245
43	77.76302826
44	76.478823
45	75.30015472
46	74.20424631
47	73.1507165
48	71.95526912
49	70.82575118
50	69.82254059
51	68.92881909
52	67.93442342
53	67.02876742
54	66.07077685
55	65.26793351
56	64.47610065
57	63.65085457
58	62.86087533
59	62.09574574
60	61.36261703
61	60.66879408
62	60.01917369
63	59.37633517
64	58.78378931
65	58.20530653
66	57.6501633
67	57.09868773
68	56.594763
69	56.16406595
70	55.69542295
71	55.24276511
72	54.77329482
73	54.30926561
74	53.86339606
75	53.49131779
76	53.08855302
77	52.71199528
78	52.36843896
79	51.98171373
80	51.62197018
81	51.27816815
82	50.96519564
83	50.64992505
84	50.3338341
85	50.07746392
86	49.82531675
87	49.55773569
88	49.28657159
89	49.01711928
90	48.80109347
91	48.60670618
92	48.41764875
93	48.19340799
94	47.9975978
95	47.78710343
96	47.61031207
97	47.41202195
98	47.23451656
99	47.04346115
100	46.87168929
101	46.72207554
102	46.56003964
103	46.41514102
104	46.27831501
105	46.1586367
106	46.02405711
107	45.89476797
108	45.77735428
109	45.64631979
110	45.53147751
111	45.41940884
112	45.32578529
113	45.1990867
114	45.07622914
115	44.96815615
116	44.84322703
117	44.72644787
118	44.60941021
119	44.51241095
120	44.42063591
121	44.35022705
122	44.26004123
123	44.15809288
124	44.06689246
125	43.98983705
126	43.90403558
127	43.83843567
128	43.75193545
